契約No,契約区分,派遣照会No,ステータス,クライアントコード,就業先企業名,契約確認者氏名,契約依頼者ユーザID,契約依頼者氏名,契約依頼者部署ID,契約依頼者部署,契約依頼者正式部署,Jobコード,契約先コード,就業先事業所,就業先住所,就業先部署,就業先正式部署,コストセンターコード,コストセンターコメント,スタッフコード,スタッフ氏名,スタッフ姓（日本語）,スタッフ名（日本語）,スタッフ姓（カナ）,スタッフ名（カナ）,スタッフ氏名（英字）,スタッフ性別,初回契約開始日,契約開始日,契約終了日,勤務日（月）,勤務日（火）,勤務日（水）,勤務日（木）,勤務日（金）,勤務日（土）,勤務日（日）,勤務日（祝）,シフト,休日（土）,休日（日）,休日（祝）,休日（指定休日）,休日（その他）,勤務開始時間,勤務終了時間,休憩開始時刻1,休憩時間1,休憩開始時刻2,休憩時間2,休憩開始時刻3,休憩時間3,請求単価,請求単位,派遣料金・契約書表示フラグ,職種,期間制限,抵触日,日雇派遣例外業務No1（新法）/台帳職種No1（旧法）,日雇派遣例外業務No2（新法）/台帳職種No2（旧法）,日雇派遣例外業務No3（新法）/台帳職種No3（旧法）,日雇派遣例外業務1（新法）/台帳職種1（旧法）,日雇派遣例外業務2（新法）/台帳職種2（旧法）,日雇派遣例外業務3（新法）/台帳職種3（旧法）,業務内容,契約担当者氏名,契約担当者部署,契約担当者役職,契約担当者TEL,派遣先責任者氏名,派遣先責任者部署,派遣先責任者役職,派遣先責任者TEL,派遣先責任者正式部署,指揮命令者氏名,指揮命令者部署,指揮命令者役職,指揮命令者TEL,請求先担当者氏名,請求先担当者部署名,請求先担当者役職,請求先担当者TEL,苦情申出先氏名,苦情申出先部署,苦情申出先役職,苦情申出先TEL,苦情申出先正式部署,派遣元事業所ID,派遣元事業所,派遣元部署ID,派遣会社_部署,派遣元正式部署,営業担当者ユーザーID,営業担当者氏名,営業担当者部署ID,営業担当者部署,営業担当者役職,営業担当者TEL,営業担当者正式部署,派遣元責任者ユーザーID,派遣元責任者氏名,派遣元責任者部署ID,派遣元責任者部署,派遣元責任者役職,派遣元責任者TEL,派遣元責任者正式部署,派遣元苦情申出先ユーザーID,派遣元苦情申出先氏名,派遣元苦情申出先部署ID,派遣元苦情申出先部署,派遣元苦情申出先役職,派遣元苦情申出先TEL,派遣元苦情申出先正式部署,タイムカード使用有無,タイムカード締め単位,勤怠承認者氏名1,勤怠承認者氏名2,勤怠承認者氏名3,健康保険,健康保険・補足情報（手続き中）,健康保険・補足情報（対象外）・期間不足,健康保険・補足情報（対象外）・時間不足,厚生年金,厚生年金・補足情報（手続き中）,厚生年金・補足情報（対象外）・期間不足,厚生年金・補足情報（対象外）・時間不足,厚生年金・補足情報（対象外）・年齢対象外,雇用保険,雇用保険・補足情報（手続き中）,雇用保険・補足情報（対象外）・期間不足,雇用保険・補足情報（対象外）・時間不足,雇用保険・補足情報（対象外）・年齢対象外,契約書備考,通知書備考,更新数量,更新単位,スタッフ最終延長可能日,就業条件コメント,備考1,備考2,備考3,備考4,備考5,伝票生成日,最終契約依頼日,契約確定日,契約書・通知書PDF更新日付,契約書PDF生成完了フラグ,修正コメント,契約先企業名,苦情処理結果,紹介予定派遣フラグ,派遣期間後の雇用形態について,年次有給休暇・退職金の算定における、派遣期間の勤務期間への算入,特定行為を行なった場合の内容,複数人から選考した場合の基準,採否結果,職業紹介を受けることを希望しなかった場合又は職業紹介を受けた者を採用しなかった場合はその理由,雇用期間の定め,契約書備考2,新法適用区分,事業所の名称選択,事業所の名称,就業先正式事業所名称,事業所抵触日,組織単位,派遣元での雇用形態,個人抵触日,便宜供与：診療施設,便宜供与：給食施設,便宜供与：休憩室,便宜供与：更衣室,便宜供与：その他1,便宜供与：その他2,便宜供与：その他3,安全及び衛生,教育状況の記録,組織の長の職名,派遣労働者を無期雇用派遣労働者又は60歳以上の者に限定するか否かの別,期間制限の対象外フラグ,期間制限の対象外理由：無期雇用派遣労働者,期間制限の対象外理由：60歳以上派遣労働者,期間制限の対象外理由：有期プロジェクト業務,期間制限の対象外理由：日数限定業務,期間制限の対象外理由：産前産後、育児休業、介護休業等の代替要員,時間外労働,休日労働,年齢区分,実年齢,健康保険・補足情報（対象外）・年齢対象外,健康保険・補足情報（対象外）・短時間被保険者に該当しない理由：週の所定労働時間が20時間未満,健康保険・補足情報（対象外）・短時間被保険者に該当しない理由：賃金の月額が8.8万円未満（年収106万円未満）,健康保険・補足情報（対象外）・短時間被保険者に該当しない理由：勤務期間が1年以上見込まれない,健康保険・補足情報（対象外）・短時間被保険者に該当しない理由：学生である,健康保険・補足情報（対象外）・短時間被保険者に該当しない理由：事業所規模が要件を満たさず、労使合意もなされていない（従業員501/101/51人以上の企業（特定適用事業所）でない）,厚生年金・補足情報（対象外）・短時間被保険者に該当しない理由：週の所定労働時間が20時間未満,厚生年金・補足情報（対象外）・短時間被保険者に該当しない理由：賃金の月額が8.8万円未満（年収106万円未満）,厚生年金・補足情報（対象外）・短時間被保険者に該当しない理由：勤務期間が1年以上見込まれない,厚生年金・補足情報（対象外）・短時間被保険者に該当しない理由：学生である,厚生年金・補足情報（対象外）・短時間被保険者に該当しない理由：事業所規模が要件を満たさず、労使合意もなされていない（従業員501/101/51人以上の企業（特定適用事業所）でない）,有期プロジェクト業務(補足情報)：補足表示フラグ,日数限定業務(補足情報)：日数限定業務が1か月に行われる日数,日数限定業務(補足情報)：派遣先の通常労働者の所定労働日数,産前産後、育児休業、介護休業等の代替要員(補足情報)：派遣先において休業する労働者の氏名,産前産後、育児休業、介護休業等の代替要員(補足情報)：休業する労働者の業務,産前産後、育児休業、介護休業等の代替要員(補足情報)：休業の開始予定日,産前産後、育児休業、介護休業等の代替要員(補足情報)：休業の終了予定日,派遣先管理台帳備考,備考1（自社共有用）,備考2（自社共有用）,備考3（自社共有用）,36協定,36協定,36協定,36協定,派遣許可番号,求人票：時間外割増,求人票：時間外割増・（固定残業代）・時間,求人票：時間外割増・（固定残業代）・基本給額,求人票：時間外割増・（固定残業代）・固定残業代額,法定休日
C104200448-001,2,,確定,ual-nmht,ユニアデックス,購買 担当者,5187,担当者氏名,9420,管理部,管理部,YYM,ual-nmht,横浜ＳＳ,神奈川県横浜市中区本町2-22　京阪横浜ビル,ＳＳ１本。サービス３,サポートサービス第一本部。サービス三部,,,YYM,名前氏名,名前,氏名,ﾅﾏｴ,ｼﾒｲ,NAMAE SIMEI,0,2026/1/16,2026/2/1,2026/3/31,1,1,1,1,1,1,1,1,1,0,0,0,1,,9:00,17:30,12:00,60,,,,,480000,3,1,,,,0,0,0,,,,コンピュータハードウェア保守業務,,,,,責任者氏名,ＳＳ１本。サービス３,部長,050-3132-5277,サポートサービス第一本部。サービス三部,指揮命令 氏名,ＳＳ１本。サービス３,課長,050-3132-5100,購買 請求担当,BIPROGYシステム購買,,050-3132-7723,苦情 氏名,サポートサービス第１本部,本部長,050-3132-2755,サポートサービス第一本部,5772,エヌエム・ヒューマテック,6774,ソリューションビジネス部,ソリューションビジネス部,6617,営業 担当者,6774,ソリューションビジネス部,,03-6222-9420,ソリューションビジネス部,9696,営業 担当者,6774,ソリューションビジネス部,,080-3246-4909,ソリューションビジネス部,nmht6772,担当者 氏名,6774,ソリューションビジネス部,,080-5895-0924,ソリューションビジネス部,1,1,中野 慎矢,野澤 一郎,,3,,,,3,,,,,3,,,,,"精算単位は、月の総就業時間を３０分単位で切捨てとする。作業交通費、宿泊費、その他経費は、実費精算とする。但し、宿泊費は、上限9,000円／日までとする。国内出張旅費規程・あり：日当は、１日につき1,200円とし、出張期間中の休日についても日当が発生する。但し、教育に関する出張時は移動日のみ日当を支給する。休日移動の場合は、日当に1,600円を加算する。（休日＝勤務実績がない日）海外出張・なし顧客対応当番・あり：８時間毎1,250円。当番時間に応じて：～８時間未満:1,250円８時間～１６時間未満:2,500円１６時間～２４時間未満：3,750円２４時間（１日）～３２時間未満:5,000円「顧客対応当番」中に業務が発生した場合は、実稼動時間を勤務表に記入する。勤務時間および勤務日は、シフト勤務表に準ずる。",,,1,,,,,,,,2026/1/8,2026/1/8,2026/1/27,2026/1/27,1,,ユニアデックス株式会社,,0,,,,,,,,,1,1,ユニアデックス株式会社　本社　東京都江東区豊洲１－１－１,ユニアデックス株式会社　横浜サービス・ステーション,2027/10/1,サポートサービス第一本部。サービス三部,0,,0,0,0,0,,,,派遣先及び派遣元は、労働者派遣法第44条から第47条の4までの規定により課せられた責任を負う。コンピュータ・ワードプロセッサ等VDTの連続操作を行う場合は、1時間に10分の作業休止時間を設ける。その他、派遣労働者の安全及び衛生に必要な措置と教育等を行う。,,部長,1,1,1,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,有効期間 2025/04/01～2026/03/31（1）時間外労働 派遣元36協定に基づく法定時間外の労働は、1日 15時間00分、1ヶ月 45時間00分、年間360時間00分以内とする。（1年間の起算日は2025年04月01日、1ヶ月の起算日は1日、週の起算日は日曜日）（2）休日労働 休日労働は、1ヶ月につき4日以内とする。（3）特別条項 労使の協議を経て、年間6回を限度として、1ヶ月 99時間45分、年間720時間00分まで延長することができる。時間外労働及び休日労働を合算した時間数は1ヶ月で100時間未満かつ、2ヶ月～6ヶ月を平均して80時間を超過しないこと,,,,派13-301312,,,,,特定曜日を法定休日として定めている 法定休日:日曜日 週の起算曜日:日曜日
C104178213-000,1,,確定,ual-nmht,ユニアデックス,購買 担当者,5187,担当者氏名,9420,管理部,管理部,TIS2,ual-nmht,KD　小山,栃木県小山市神鳥谷1828番地　KDDI小山ネットワークセンター運用棟内３Ｆ　ユニアデックス執務室,ＡＳ５本部。サービス４部,アカウントサービス第五本部。サービス四部,,,TIS2,名前氏名,名前,氏名,ﾅﾏｴ,ｼﾒｲ,NAMAE SIMEI,0,2026/1/1,2026/1/1,2026/3/31,1,1,1,1,1,1,1,1,1,0,0,0,1,,9:00,17:30,12:00,60,,,,,510000,3,1,,,,0,0,0,,,,小山ネットワークセンター　運用監視業務,,,,,責任者氏名,ＡＳ５本部。サービス４部,部長,050-3132-0803,アカウントサービス第五本部。サービス四部,指揮命令 氏名,ＡＳ５本部。サービス４部,,050-3132-5384,購買 請求担当,BIPROGYシステム購買,,050-3132-7723,苦情 氏名,ＡＳ第５本部,本部長,050-3132-6477,アカウントサービス第五本部,5772,エヌエム・ヒューマテック,9420,管理部,管理部,9696,営業 担当者,6774,ソリューションビジネス部,,080-3246-4909,ソリューションビジネス部,9696,営業 担当者,6774,ソリューションビジネス部,,080-3246-4909,ソリューションビジネス部,nmht6772,担当者 氏名,6774,ソリューションビジネス部,,080-5895-0924,ソリューションビジネス部,1,1,小島 健,草場 武,田実 正和,3,,,,3,,,,,3,,,,,"精算単位は、月の総就業時間を３０分単位で切捨てとする。作業交通費、宿泊費、その他経費は、実費精算とする。但し、宿泊費は、上限9,000円／日までとする。国内出張旅費規程・なし海外出張・なし顧客対応当番・なし勤務日・勤務時間はシフト表に準ずる。",,,1,,,,,,,,2025/12/16,2025/12/16,2025/12/17,2025/12/17,1,,ユニアデックス株式会社,,0,,,,,,,,,1,1,ユニアデックス株式会社　本社　東京都江東区豊洲１－１－１,ＫＤＤＩ株式会社　小山ネットワークセンター,2027/10/1,アカウントサービス第五本部。サービス四部,0,,0,0,0,0,,,,派遣先及び派遣元は、労働者派遣法第44条から第47条の4までの規定により課せられた責任を負う。コンピュータ・ワードプロセッサ等VDTの連続操作を行う場合は、1時間に10分の作業休止時間を設ける。その他、派遣労働者の安全及び衛生に必要な措置と教育等を行う。,,部長,1,1,1,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,有効期間 2025/04/01～2026/03/31（1）時間外労働 派遣元36協定に基づく法定時間外の労働は、1日 15時間00分、1ヶ月 45時間00分、年間360時間00分以内とする。（1年間の起算日は2025年04月01日、1ヶ月の起算日は1日、週の起算日は日曜日）（2）休日労働 休日労働は、1ヶ月につき4日以内とする。（3）特別条項 労使の協議を経て、年間6回を限度として、1ヶ月 99時間45分、年間720時間00分まで延長することができる。時間外労働及び休日労働を合算した時間数は1ヶ月で100時間未満かつ、2ヶ月～6ヶ月を平均して80時間を超過しないこと,,,,派13-301312,,,,,特定曜日を法定休日として定めている 法定休日:日曜日 週の起算曜日:日曜日
C104178043-000,1,,確定,ual-nmht,ユニアデックス,購買 担当者,5187,担当者氏名,9420,管理部,管理部,OHR,ual-nmht,九州支店,福岡県福岡市博多区上呉服町10-1博多三井ビルディング,ＡＳ４本部。九州ＳＳ１部,アカウントサービス第四本部。九州システムサービス一部,,,OHR,名前氏名,名前,氏名,ﾅﾏｴ,ｼﾒｲ,NAMAE SIMEI,0,2026/1/1,2026/1/1,2026/3/31,1,1,1,1,1,0,0,0,0,1,1,1,0,,9:00,17:30,12:00,60,,,,,750000,3,1,,,,0,0,0,,,,インフラ設計・構築,,,,,責任者氏名,ＡＳ４本部。九州ＳＳ１部,部長,050-3132-9224,アカウントサービス第四本部。九州システムサービス一部,指揮命令 氏名,ＡＳ４本部。九州ＳＳ１部,課長,050-3132-9984,購買 請求担当,BIPROGYシステム購買,,050-3132-7723,苦情 氏名,ＡＳ第４本部,本部長,050-3132-0637,アカウントサービス第四本部,5772,エヌエム・ヒューマテック,9420,管理部,管理部,nmht6772,営業 担当者,6774,ソリューションビジネス部,,080-5895-0924,ソリューションビジネス部,9696,営業 担当者,6774,ソリューションビジネス部,,080-3246-4909,ソリューションビジネス部,nmht6772,担当者 氏名,6774,ソリューションビジネス部,,080-5895-0924,ソリューションビジネス部,1,1,中村 浩基,園田 智昭,,3,,,,3,,,,,3,,,,,"精算単位は、月の総就業時間を３０分単位で切捨てとする。作業交通費、宿泊費、その他経費は、実費精算とする。但し、宿泊費は、上限9,000円／日までとする。国内出張旅費規程・あり：日当は、１日につき1,200円とし、出張期間中の休日についても日当が発生する。但し、教育に関する出張時は移動日のみ日当を支給する。休日移動の場合は、日当に1,600円を加算する。（休日＝勤務実績がない日）海外出張・なし顧客対応当番・なし",,,1,,,,,,,,2025/12/16,2025/12/16,2025/12/22,2026/2/6,1,弊社での各種保険の加入が確認できましたので、手続中から加入に修正をさせていただきました。,ユニアデックス株式会社,,0,,,,,,,,,1,1,ユニアデックス株式会社　本社　東京都江東区豊洲１－１－１,ユニアデックス株式会社　九州支店,2027/10/1,アカウントサービス第四本部。九州システムサービス一部,0,,0,0,1,0,,,,派遣先及び派遣元は、労働者派遣法第44条から第47条の4までの規定により課せられた責任を負う。コンピュータ・ワードプロセッサ等VDTの連続操作を行う場合は、1時間に10分の作業休止時間を設ける。その他、派遣労働者の安全及び衛生に必要な措置と教育等を行う。,,部長,1,1,1,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,有効期間 2025/04/01～2026/03/31（1）時間外労働 派遣元36協定に基づく法定時間外の労働は、1日 15時間00分、1ヶ月 45時間00分、年間360時間00分以内とする。（1年間の起算日は2025年04月01日、1ヶ月の起算日は1日、週の起算日は日曜日）（2）休日労働 休日労働は、1ヶ月につき4日以内とする。（3）特別条項 労使の協議を経て、年間6回を限度として、1ヶ月 99時間45分、年間720時間00分まで延長することができる。時間外労働及び休日労働を合算した時間数は1ヶ月で100時間未満かつ、2ヶ月～6ヶ月を平均して80時間を超過しないこと,,,,派13-301312,,,,,特定曜日を法定休日として定めている 法定休日:日曜日 週の起算曜日:日曜日
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
